doctor_id,full_name,specialization,department_id,hospital_id,phone_no,record_start,record_end
D00032,Dr. Lynn Baashir, ent ,DEP07,H02,(384)783-5024,2023-04-28,2023-11-24
D00033,Dr. Felicia gray,oncology,DEP09,H03,001-750-345-6027X46393,2023-06-06,2024-04-09
D00034,Dr.  AADAM  Lynch,cardiology,DEP03,H04,(383)716-7915x642,2023-02-26,2024-02-12
D00035,Dr. Jahdari Qusay,ent,DEP02,H01,(814)582-9849,2023-02-14,2023-11-30
D00036,Dr. Elaf  Murphy,Oncology,DEP03,H04,(288)318-5389x44524,2023-04-25,2024-01-14
D00037,DR.  RAHEEM  BILAAL,oncology_,DEP03,H01,(678)720-4226,2023-04-21,
D00038, Dr. Ghalib_ Batool ,ENT,DEP10,H03,806-364-2303x6048,2023-04-09,
D00039,Dr. Omar Cole,ent,DEP01,H05,(909)274-3506x84059,2023-03-21,2023-09-26
D00040,dr. fahmi yasir_,neurology,DEP05,H05, +1-782-861-1104x065 ,2023-06-06,
D00041, Dr. Qabeel Auraq ,Neurology,DEP02,H04,550.659.4059x288,2023-04-18,
D00042,Dr. Man Payne,Neurology,DEP10,H04,830-507-7208,2023-03-15,
D00043,Dr. Maria Kline,PEDIATRICS,DEP01,H02,+1-585-359-2871X0973,2023-01-31,2023-12-05
D00044,Dr. Sabeeh aasif-,Pediatrics,DEP05,H01,845.339.1631x8898,2023-06-26,2024-05-09
D00045,Dr. Guney HANSON,Cardiology,DEP04,H04,+1-819-927-0549x702,2023-04-09,
D00046,DR.  TERESA  RANDOLPH,Cardiology,DEP04,H02,+1-911-679-0845x707,2023-02-19,2023-09-07
D00047,dr. qaasim tahmaseb,Oncology,DEP07,H03,350.661.6286x265,2023-02-23,
D00048,Dr.  Naib  Mcmillan,Orthopedics,DEP05,H03,573.469.2296,2023-01-20,
D00049,dr. jameel wolfe,ENT,DEP02,H03,001-807-811-7639x4669,2023-06-04,2024-05-03
D00050,Dr.  Brittney  Taylor, Pediatrics .,DEP01,H02,001-599-441-5970x45576,2023-01-11,2023-10-12
D00051,Dr. Quadir Friedm@n.,Cardiology,DEP10,H03,364.786.3078x4128,2023-02-26,2023-12-10
D00052,DR. MAALIK AWADIL,Pediatrics,DEP02,H05,001-484-589-0920x3828,2023-05-10,
D00053,dr. durab aatiq, Cardiology ,DEP06,H03,(887)964-5351x9610,2023-06-11,2024-04-10
D00054,Dr. Ian Aamir, cardiology ,DEP04,H02,+1-770-361-1447,2023-03-19,
D00055,Dr. Bairbel baker,Oncology,DEP09,H05, 505-706-0790x3569 ,2023-05-10,2023-11-10
D00056,"dr. sarah kelly,",cardiology,DEP06,H01,(423)421-8234,2023-05-19,2024-03-01
D00057,dr. amanda baaqir,Oncology,DEP10,H02,204-474-7410x779,2023-03-03,
D00058,Dr. Michael- Gohar-,ENT,DEP03,H02, 759.943.7124X85192 ,2023-06-22,2024-02-08
D00059,Dr. Ayamin Uhban,c@rdi0l0gy,DEP08,H05,001-461-619-1580x269,2023-01-23,2023-10-20
D00060,Dr. Travis Hudson, Oncology ,DEP07,H04,9086172721,2023-06-30,
D00061,Dr.  Brent  Beck,Neurology,DEP09,H02,001-337-649-6128x67062,2023-04-24,2023-11-25
D00062,DR. TALHAH SAAL, Orthopedics ,DEP03,H02,(449)942-5230x03800,2023-03-22,2023-10-07
D00063,Dr. bridget- Aadam,Pediatrics,DEP09,H01,958-997-9190X48570,2023-03-05,
D00064,Dr. Lutf  Richardson,Neurology,DEP02,H01,+1-474-223-1857x322,2023-04-13,
D00065,Dr. Jennifer wiggins,neurology-,DEP06,H04, 001-922-392-7874x27868 ,2023-01-22,2023-09-17
D00066, Dr. Megan Rose ,cardiology,DEP07,H01,+1-250-915-0298,2023-03-03,2024-02-26
D00067,Dr. Meagan  Aarif,Oncology,DEP07,H04,+1-866-860-9549x359_,2023-05-19,2023-12-21
D00068,Dr.  kareem  TAAJ_,cardiology-,DEP05,H05,834-623-9347x62067,2023-02-19,2024-02-19
D00069,dr. david monroe,neur0l0gy,DEP04,H05,2517474639,2023-01-29,2024-01-16
D00070, Dr. Yaqeen D@vis ,Cardiology,DEP03,H01,(802)592-0550x4616,2023-03-17,2024-02-14
D00071,Dr. lauren JAMEEL,ENT,DEP01,H03,(651)447-1803,2023-01-16,
D00072,DR. H@MZ@ MORENO,Cardiology,DEP07,H01,961-854-1724x2980,2023-05-05,
D00073,Dr. benjamin johnson,Oncology,DEP02,H02,351-814-4167,2023-04-14,2024-01-19
D00074,Dr. Yafir Basaam,cardiology,DEP01,H01,8778062485,2023-05-04,2024-01-09
D00075,Dr. Raashid Ihsaan,Neurology,DEP08,H01,,2023-02-28,
D00076,Dr. zaweel Huzaifa,ent,DEP06,H04,641.519.2189x0252,2023-05-09,2023-11-13
D00077,Dr. zaahir zaahid,Cardiology,DEP07,H04,"(846)264-8946x80653,",2023-02-20,2023-09-14
D00078,"Dr. Dastageer, Nelson",ORTHOPEDICS,DEP04,H04,680-220-4626x3661,2023-01-14,2023-10-24
D00079,dr. sabeeh hicks,neurology,DEP08,H01,886-629-5842x9040,2023-02-22,2024-01-10
D00080,Dr. Katrina hess_,ENT,DEP10,H05,001-321-933-9861,2023-01-06,
D00081,Dr. Bashaar turner, Orthopedics ,DEP02,H04,001-533-823-3460x9949,2023-01-30,2023-10-28
D00082,Dr. Chloe Smith,Cardiology,DEP09,H05,370.926.5323,2023-05-07,2024-03-13
D00083, Dr. Nafesa Mcneil ,ENT,DEP09,H05,001-965-667-1892x409,2023-03-07,
D00084,Dr. saahir huzaifa,Cardiology,DEP06,H04,(953)373-6486,2023-01-04,
D00085,Dr.  Le@h  Nabeel,Cardiology.,DEP08,H04, 731-678-9838 ,2023-01-26,
D00086,Dr. Mahad JOHNSON,Pediatrics,DEP06,H03, 277-460-1671x007 ,2023-01-29,2024-01-23
D00087,Dr. Lind@ ihtiram,Pediatrics,DEP10,H03,,2023-03-06,
D00088,Dr. TAHMEED Raashid,Oncology,DEP10,H04,672.388.0955x71315,2023-06-20,
D00089,Dr. Jennifer White,"ENT,",DEP10,H04,,2023-02-20,2023-11-12
D00090,Dr. ronald Heath,CARDIOLOGY,DEP01,H02,001-329-886-1943,2023-01-27,
D00091,Dr. esfandyar Li,ORTHOPEDICS,DEP02,H05,396.908.2356x36522,2023-06-23,2024-02-15
D00092,Dr. tyler SADAQAT.,Pediatrics,DEP05,H03,+1-588-468-5924x00908,2023-05-13,2024-03-31
D00093,Dr. ZAFRUL Aasif,ent,DEP10,H01,+1-939-745-7433,2023-04-12,2023-11-06
D00094,Dr. azeeb Manning,Oncology,DEP10,H01,519-442-7749x050,2023-02-02,
D00095,Dr. valerie Steele,Neurology,DEP03,H02,+1-791-544-4956x1860_,2023-01-17,2023-12-04
D00096,Dr. roger Talal,pediatrics,DEP01,H05,327.260.1382,2023-01-26,2023-09-16
D00097,dr. john. jaabir,Orth0pedics,DEP01,H04,211-815-1361x6890,2023-03-13,2023-12-27
D00098,Dr. Ejlaal sair,ent,DEP04,H02,7798739164,2023-04-20,2023-11-06
D00099,Dr. Andrew Kaleem_,neurology,DEP08,H03,9352264927,2023-04-18,2024-02-26
D00100,Dr. taahir Wilson,Oncology,DEP05,H03,+1-677-996-9977x643,2023-06-18,2023-12-20
D00101,Dr. madyan JAHDARI, Orthopedics ,DEP03,H01,523-379-8883x860,2023-03-18,2024-02-19
D00102,Dr. Talat Lynch,Oncology,DEP04,H05,001-679-692-6737X856,2023-05-02,2024-03-10
D00103,Dr. Aarif Zafar,neurology,DEP08,H01, 507-497-4496x57090 ,2023-03-11,2023-12-05
D00104, Dr. Sarah jahdari ,NEUROLOGY,DEP04,H02,418-996-8854x3403,2023-02-10,
D00105,Dr. Yameen  Burns,Pediatrics,DEP06,H03, 478-327-4899x149 ,2023-01-29,
D00106,Dr. Janice Saariyah-, c@rdi0l0gy ,DEP08,H02,+1-485-654-9606,2023-03-28,2024-02-16
D00107, Dr. R@@mis  H@ley ,Orthopedics,DEP01,H02,,2023-01-04,
D00108,dr. kazim saafir,Cardiology,DEP01,H03,(841)223-9658,2023-06-14,
D00109,Dr. Muzhir Ghannam,pediatrics,DEP01,H05,(588)576-6809x4985,2023-06-12,2024-05-31
D00110,Dr. KAMIL Long,Cardiology,DEP06,H04,914.366.3196x5485,2023-02-08,
D00111,Dr. richard IHTIRAM,Pediatrics,DEP01,H01,+1-273-803-3512x725,2023-04-26,2023-12-24
D00112,Dr. Taha Aalam,Cardiology,DEP08,H04,(759)537-3098x1116,2023-01-18,2023-10-14
D00113,DR. YAFIR WOODS,Neurology,DEP10,H05,240.352.5168x15519,2023-01-16,
D00114,dr. yamar ross,Orthopedics,DEP10,H04,7704923276-,2023-05-30,2024-05-28
D00115,Dr. Raahil  Chen,Pediatrics,DEP07,H03,754.605.3329,2023-06-30,
D00116,Dr. George Jahdari,Orthopedics,DEP09,H01,+1-506-501-0604,2023-04-05,2023-10-27
D00117, Dr. gh@s@@n W@d00d ,ENT,DEP10,H05,630-610-1339x9087,2023-06-05,2024-02-20
D00118,dr.  mary  rabbani, ENT ,DEP05,H04,(720)425-2444x5017,2023-05-13,2024-04-10
D00119,dr. kelli naeem,Cardiology,DEP04,H01, 732.810.4789 ,2023-06-10,2024-03-29
D00120, Dr. Kawthar Yasir ,Orthopedics,DEP10,H03,(454)213-0691,2023-04-24,
D00121,Dr. layth young,NEUROLOGY,DEP10,H04, 258.884.7772x1197 ,2023-01-31,
D00122,Dr. Susan Umair,ONCOLOGY,DEP03,H01,432-653-0486,2023-03-24,
D00123,DR. IBN COLE,Oncology,DEP05,H05,864-856-4978,2023-01-21,
D00124,Dr.  Amanda  aaaqil,PEDIATRICS,DEP05,H01,001-332-812-4369x5655,2023-01-27,2024-01-18
D00125,Dr. Mary Ihsaan,ENT,DEP05,H01,385-373-2797,2023-05-24,2024-04-01
D00126,"Dr. Richard Gutierrez,",orthopedics,DEP01,H04,251.741.7679x5430,2023-01-05,
D00127,Dr. A@sim smith,ENT,DEP09,H01,704-468-3148,2023-01-11,
D00128,Dr. Qaim Swanson,Pediatrics,DEP05,H03,001-438-343-1675x14125,2023-05-06,
D00129,Dr.  Tyler  Lewis,ENT,DEP10,H05,(252)441-6319X35463,2023-05-21,2024-03-07
D00130,Dr. S@ndr@  Aguilar,Cardiology,DEP10,H02,(632)945-9161,2023-01-18,2023-12-05
D00131, Dr. Tyler Saahir ,Cardiology,DEP08,H03,,2023-05-06,
D00132, Dr. NICOLE aamir .,"pediatrics,",DEP08,H02,593-946-3921x7798,2023-06-15,2024-05-18
D00133,Dr. Alison  warren, Neurology ,DEP07,H03,252.735.1711x256,2023-06-20,
D00134,Dr. Talhah TAHAW-WUR,ENT,DEP02,H05,928-245-6655,2023-06-09,2024-03-31
D00135,Dr. jennifer Fisher,ENT,DEP07,H05,+1-378-412-0820x727,2023-06-28,
D00136,Dr.  tahmid  Saaqib, Oncology ,DEP08,H04,505.376.2801x01273,2023-03-12,2023-09-23
D00137,Dr. Betty Simmons, ENT ,DEP10,H03,(907)632-5215,2023-05-13,2024-04-10
D00138,Dr. jonathan F0x,ENT,DEP03,H03,464.720.3657,2023-06-26,2024-05-31
D00139,Dr. J@lees Doyle,ENT-,DEP10,H05,8989219341,2023-02-16,2023-10-03
D00140,Dr. William mahmoud,Neurology,DEP02,H01, +1-451-460-9809 _,2023-03-01,
D00141,Dr. yasin Allen,NEUROLOGY,DEP05,H04,(824)806-4331,2023-06-19,
D00142,Dr. Joshua Esfandyar,neurology,DEP08,H05,5094708230,2023-05-23,2024-04-01
D00143,Dr. Basim hayes, Oncology _,DEP08,H05,(967)781-6960x68512,2023-06-15,2024-03-29
D00144,DR. QUDDOOS TALAT,NEUROLOGY,DEP05,H04,+1-334-550-6996x1651,2023-03-01,
D00145,dr. makeen tahaw-wur., orthopedics ,DEP04,H03,+1-810-673-2722x4620,2023-04-19,
D00146,Dr. Aadil Cox,ENT,DEP06,H03,"+1-203-246-5360x62836,",2023-02-06,2023-10-18
D00147,DR. SCOTT LIYAQAT,Pediatrics,DEP05,H01,001-620-594-0297x439,2023-02-15,
D00148,Dr. Veronica ZAHUR,NEUROLOGY,DEP08,H01,+1-702-891-8621x3383,2023-01-28,2023-11-09
D00149,Dr.  Aatif  drake,Pediatrics,DEP04,H01,311.375.6694,2023-05-02,2023-11-25
D00150,dr. tishk raaghib,Pediatrics,DEP07,H01, 6257820561 ,2023-02-19,2023-10-21
D00151,DR. ULFAT SAAL, Pedi@trics ,DEP06,H01,555-778-2165x94539,2023-02-05,2023-09-25
D00152,Dr. Labeeb- Jaabir,Neurology,DEP07,H02,864-501-7134x257,2023-01-05,2023-12-15
D00153,Dr. Brenda  Coleman,Neurology,DEP01,H05,+1-414-537-6631x11426,2023-05-26,
D00154, Dr. brenda walters ,Orthopedics,DEP09,H04, (953)582-2285 ,2023-02-18,
D00155,Dr. DAVID Freeman,Neurology,DEP01,H05,001-445-277-3218x41522,2023-01-12,
D00156,Dr.  sally   Saalim,Pediatrics,DEP02,H03,540.418.1438.,2023-06-23,
D00157,Dr. Ashlee Sadeed,ent,DEP02,H02,(382)592-3528x425,2023-01-25,
D00158,Dr. B@h@ mcconnell,Pediatrics,DEP07,H01,5752846068,2023-02-19,2023-12-28
D00159,Dr. @big@il ubay,ENT,DEP10,H05,209-226-7773x20407,2023-05-14,2024-04-27
D00160,Dr.  Aadil   Ray,Pediatrics,DEP06,H03,887-783-0738,2023-06-15,
D00161,Dr. alexis Zahaar,CARDIOLOGY,DEP07,H03,+1-411-820-3253X0624,2023-03-14,
D00162,Dr. baahir T@yl0r,Cardiology,DEP07,H02,001-564-412-7760,2023-05-18,
D00163,Dr. Amy Q@sif,PEDIATRICS,DEP05,H05,647-923-6225-,2023-05-04,
D00164,dr. b@seer ubaid,Orthopedics,DEP07,H03,+1-529-306-0616,2023-03-19,
D00165,Dr. Baasit Sair, Neurology ,DEP07,H01,+1-970-286-1988X363,2023-05-31,2023-12-03
D00166,Dr. Derek Mahbub,Neurology,DEP07,H05,742-805-2356x0557,2023-02-13,2023-11-14
D00167,dr. zackariya friedman,orthopedics,DEP10,H04,001-409-614-2654X372,2023-01-20,
D00168,Dr. QADAR- Parrish,ENT,DEP05,H05,+1-672-295-6336x9003,2023-02-05,2023-08-16
D00169, Dr. James Aamir ,Cardiology,DEP09,H04,527.769.5238x3421,2023-06-02,
D00170,dr. christopher  iftikhaar,PEDIATRICS,DEP03,H02,+1-576-498-2929X2761,2023-01-07,
D00171,Dr. qusay ARNOLD,Oncology,DEP09,H04,(766)885-2177x2106,2023-04-30,
D00172,Dr. Danish Ihsaan,ENT,DEP09,H03,001-595-465-1846_,2023-06-07,2023-12-08
D00173,"Dr. Dawud, saboor-",Oncology,DEP04,H05,001-711-736-5926x5096,2023-06-05,2024-04-11
D00174,dr. keyaan brown,ent,DEP10,H05,,2023-05-11,
D00175,Dr. Michael Mourib,orthopedics,DEP04,H04,(835)227-1413x43092,2023-04-25,2023-12-21
D00176,Dr. Zaweel Lewis,Orthopedics,DEP03,H03,+1-280-880-1764x27121,2023-03-07,
D00177, DR. RICHARD RAFEEK ,ENT,DEP07,H04, +1-237-784-1628x6682 ,2023-04-13,
D00178,Dr. harnail Wright,ENT,DEP04,H03,+1-620-798-4583x426,2023-06-18,2024-06-02
D00179,Dr. Zahi Fr@zier,Oncology,DEP04,H05,001-857-230-5270x039,2023-04-14,
D00180,Dr.  cynthia  t@@j,Cardiology,DEP04,H01,970.509.4097,2023-03-15,2023-12-16
D00181, DR. GULZAR AWADIL ,Cardiology,DEP03,H05,001-284-918-8242,2023-06-24,2024-02-03
D00182,Dr. Henry Peterson,Cardiology,DEP01,H01,+1-937-881-4179x4704,2023-06-24,2024-06-15
D00183,Dr. jessica Ubaidah,cardiology,DEP08,H04,3833308979,2023-03-21,2023-10-14
D00184,Dr. KAAMIL nabih,CARDIOLOGY,DEP01,H03,,2023-04-28,
D00185,Dr. Ghauth walker,ENT,DEP10,H03,+1-476-258-8460-,2023-05-09,2024-01-24
D00186,dr. alexandra kashif, CARDIOLOGY .,DEP04,H05,,2023-06-24,2023-12-22
D00187,Dr. Wahb zafir,Neurology,DEP09,H01,+1-503-364-2646x54567,2023-04-14,2024-01-02
D00188,Dr. Ashley Singh,pediatrics,DEP01,H02,433.291.2595x9698,2023-06-29,
D00189,Dr. Ralph ghayoor,ENT,DEP10,H04,371.809.3228,2023-02-15,
D00190,Dr. Aadil Azban,Orthopedics,DEP02,H02,839-752-1137,2023-04-21,
D00191,Dr. David barraq,Orthopedics,DEP04,H05, +1-660-509-5014x527 ,2023-02-23,
D00192,dr. charlesh ghannam,pediatrics,DEP10,H01,(787)711-8689x914,2023-05-15,2024-03-28
D00193,Dr. JEFFERY CHARLES,Neurology,DEP04,H02,369.399.7354x059,2023-02-27,
D00194,"Dr. Deborah Jahdari,",Neurology,DEP10,H04,(894)808-0801x19389,2023-02-20,2023-11-24
D00195,Dr. Ehs@@s R0ch@,pedi@trics,DEP03,H05,5287930514,2023-06-23,
D00196,dr. eijaz raashid,Pediatrics,DEP02,H01,(350)446-6879x255,2023-03-27,2023-12-06
D00197, dr. heather navarro ,Neurology,DEP10,H02,385-835-2216x49161,2023-04-18,
D00198, dr. andrew saajid ,Pediatrics,DEP01,H01,796.800.9215x66545,2023-03-31,
D00199,Dr. Awmar GHAUTH, Cardiology ,DEP05,H02,955.219.2510x25793,2023-01-10,2023-09-12
D00200, Dr. Christina majd ,Orthopedics,DEP10,H04,,2023-03-08,
D00201,Dr. Jason ubadah,Cardiology,DEP07,H01,728-599-4724x31180,2023-01-27,2023-11-24
D00202, Dr. Jameel Gardner ,ENT,DEP05,H03,,2023-02-06,
D00203,Dr.  Ihab  smith.,Cardiology,DEP07,H02, (993)575-9520x7668 ,2023-06-30,2024-02-28
D00204,dr. william spencer,ORTHOPEDICS,DEP01,H03,+1-674-560-3621x345,2023-04-06,2023-10-03
D00205, Dr. BASEL Kasam ,cardiology,DEP09,H05,699.878.3486x7127,2023-04-29,
D00206,Dr. natalie Sabir,ENT,DEP08,H01,347.999.3564x43962,2023-02-12,
D00207,Dr. steven  c00per,Cardiology,DEP06,H01,(332)311-4188,2023-01-14,
D00208,Dr. Aamir nadeem-,ENT,DEP01,H04,239-333-8495x62860,2023-02-11,
D00209,Dr. robert Fleming,"Neurology,",DEP07,H02,,2023-03-09,
D00210,DR. KAREN AYAMIN,Neurology,DEP10,H04,396.544.8221x432,2023-06-06,2024-01-31
D00211,DR. OMRAN WAFEEQ,Oncology,DEP07,H02,,2023-06-22,2024-05-04
D00212,Dr. Umaarah NAEEM,ENT,DEP06,H01,866-505-0659x4549,2023-01-07,2023-09-19
D00213,Dr. Ali Kaamil,cardiology,DEP01,H02,,2023-02-13,2023-08-21
D00214,dr. jaabir gill,Pediatrics,DEP10,H02,7189891305,2023-05-13,
D00215,DR. KIMBERLY UB@Y,ENT,DEP08,H04,678-536-9769x2164,2023-02-11,
D00216,"Dr. Kabeer, Garza",Pediatrics_,DEP05,H01,+1-616-310-4042x51440,2023-01-18,2023-09-10
D00217,Dr. Stephanie  H0well,Oncology,DEP07,H03,001-975-641-7564x23820,2023-02-07,2023-08-22
D00218,Dr. Madiyan nguyen,NEUROLOGY,DEP01,H04,3705916216,2023-04-26,2024-04-22
D00219,Dr. qaadir Zaahid,Orthopedics,DEP04,H05,(270)826-0340,2023-05-27,2024-01-16
D00220,Dr. DANIEL Maheen,Pediatrics,DEP06,H04,+1-875-712-9067x0231,2023-01-20,
D00221,Dr. Aariz herrera,Cardiology,DEP04,H05, +1-205-872-0741x77285 ,2023-06-21,2024-05-31
D00222,Dr. Jad  Bush,ENT,DEP09,H05,3638443230,2023-05-17,2024-04-07
D00223,Dr. Mark. AALAM,ENT,DEP01,H01,001-827-939-1625x3688,2023-01-11,
D00224,Dr. Allen- Shaw,Pediatrics,DEP06,H01,001-982-226-1396x4126,2023-06-02,2024-03-18
D00225,Dr. Elizabeth Weber,Pediatrics,DEP02,H04,(531)707-8275,2023-03-15,
D00226,Dr. Blake Luay, Orthopedics ,DEP02,H01,947.349.0089x4351,2023-06-24,
D00227,dr. cassie damurah,Onc0l0gy,DEP08,H02,(795)328-5905x4478,2023-02-28,2023-11-02
D00228,Dr. @utumn z@@hid,neurology,DEP06,H03,,2023-04-21,
D00229,DR. JOHN DAWUD,ent,DEP05,H05,,2023-05-18,
D00230,Dr. Tadeen Adams,Oncology,DEP03,H02,,2023-06-16,
D00231,dr. donald quinn, neurology ,DEP03,H03,(822)919-6422_,2023-05-10,2024-01-18
D00232, DR. JAMEEL SAARIYAH ,Orthopedics,DEP01,H01,+1-350-345-1223x01285,2023-04-13,2024-01-02
D00233,Dr.  Kristen   moore,Neurology,DEP09,H05,(912)917-3583x8909,2023-01-23,
D00234,dr. charlesh nich0ls,Cardiology,DEP02,H03,643.451.5119x78952,2023-03-13,
D00235,DR. THERESA HUFF, Cardiology ,DEP01,H05,359.716.8547,2023-05-31,
D00236,dr. wadi taimur,ENT,DEP07,H02,533.709.0254x22453,2023-01-03,
D00237,dr. ghazawan  y0ung,Neurology,DEP08,H03,448.653.3051,2023-06-28,2024-03-29
D00238,Dr. Mark Wright,neurology,DEP10,H02, 001-711-844-8651x03566 ,2023-05-16,2024-02-10
D00239,DR. YASHEM DALTON,oncology,DEP09,H03,860-326-2410x459,2023-06-14,
D00240,Dr. obaid Sexton,Neurology,DEP09,H04,549-790-5481x28318,2023-06-08,2024-04-30
D00241,DR. KRISTIN DAWUD,Pediatrics_,DEP03,H01,(370)308-2784x705,2023-03-03,
D00242,Dr. Jeffrey Howard,Pediatrics,DEP07,H02, 720-772-3070 ,2023-04-13,2024-03-21
D00243,Dr. ihab  lopez,Pediatrics,DEP01,H05,+1-916-365-6067X96871,2023-06-10,2024-04-21
D00244,Dr. Kyle  Umar,ent,DEP04,H04,275-497-7784x8399,2023-05-24,
D00245,Dr. Zahur russell,Neurology,DEP07,H05,244-645-3800,2023-01-30,2023-10-08
D00246,Dr. christopher  Talat_, Orthopedics ,DEP08,H04,001-901-331-4671x49808,2023-02-18,2023-10-25
D00247,DR. BRITTANY CHANDLER,Oncology,DEP06,H04,001-227-627-1143,2023-02-12,2023-12-13
D00248,Dr. Umair raaghib,Oncology,DEP09,H01,(744)653-7530_,2023-03-04,2023-12-13
D00249,Dr. Anna Lahiah, Pediatrics ,DEP07,H01,559.565.2931x36579,2023-06-08,2024-04-20
D00250,Dr. Umair Zafir,Pediatrics,DEP03,H02,"775-274-1765x818,",2023-06-24,
D00251,dr. tahaw-wur vaughn, Cardiology -,DEP10,H01,704.537.7087x3559,2023-06-03,2024-02-12
D00252,Dr. Yaseen Aalam, Oncology ,DEP04,H03,(416)433-3696,2023-04-09,
D00253,dr. wahhaab fisher,CARDIOLOGY,DEP01,H04,(983)912-0627,2023-06-13,
D00254, DR. GHAWTH ZAAFIR ,Cardiology,DEP05,H02,516.378.4845,2023-06-30,2024-02-21
D00255,Dr. Aayan Gohar,ENT,DEP05,H03,+1-891-944-6329x5930,2023-01-27,2023-11-24
D00256,Dr. Qawee Dakhil,Pediatrics,DEP03,H03,8693619128,2023-02-13,2023-11-30
D00257,Dr. dameer Jalil,pediatrics,DEP06,H02,,2023-01-10,2023-10-25
D00258,Dr. Saburah stone,Pediatrics,DEP02,H03,(546)413-2609,2023-05-27,2023-11-27
D00259,Dr. Jim  Burke,Neurology,DEP10,H04, +1-437-559-6095 ,2023-03-12,
D00260,dr.  benjamin  hernandez,Oncology-,DEP05,H03,272-724-4970,2023-01-19,2023-09-05
D00261,Dr.  Zabir  v@h@r,Cardiology,DEP05,H04,,2023-02-02,2023-08-12
D00262,dr. khaalid ubadah.,Neurology,DEP03,H01,413.206.7615x4961,2023-05-30,
D00263,Dr.  Jahanzeb  Graves, ent ,DEP04,H04,+1-673-798-6428x8375,2023-05-31,2024-03-27
D00264, Dr. emily vahar ,Pediatrics,DEP01,H02,704.248.3388x18829,2023-05-16,
D00265,DR. EDWARD ESPIN0Z@,Neurology,DEP10,H02,(581)477-8083,2023-01-27,2023-10-16
D00266,Dr. Mahfooz_ Ehsaas,Pedi@trics,DEP10,H03, 001-943-580-2480x69903 ,2023-01-24,2024-01-15
D00267,Dr. Evelyn Galvan,ONCOLOGY,DEP07,H04,(231)546-9416x945,2023-04-04,2024-02-04
D00268,Dr. Jill Rafeek,Orthopedics,DEP01,H03,828.691.5039x57161,2023-05-12,2024-01-11
